,location,longitude,latitude,property_type,price,host_response_time,host_response_rate,cancellation_policy,review_scores_rating
0,City Island,-73.78650889,40.84919062,House,50,4,1.0,4,100.0
1,City Island,-73.78660939,40.84977457,Apartment,125,4,1.0,3,95.0
2,City Island,-73.78932759,40.85002381,House,69,4,1.0,4,97.0
3,City Island,-73.78930423,40.85197955,Apartment,150,4,1.0,5,100.0
4,City Island,-73.78867963,40.85205378,House,101,4,1.0,4,100.0
5,City Island,-73.7895405,40.84486957,House,125,4,1.0,4,97.0
6,City Island,-73.78762098,40.85258204,Apartment,115,1,0.33,3,99.0
7,City Island,-73.78948149,40.8530609,House,62,4,1.0,4,87.0
8,City Island,-73.78413887,40.85139148,House,85,4,1.0,5,98.0
9,Allerton,-73.85937793,40.86676961,House,44,4,1.0,3,91.0
10,Allerton,-73.85811594,40.86681965,House,47,4,1.0,4,95.0
11,Allerton,-73.87066898,40.85955928,Apartment,39,4,1.0,3,90.0
12,Allerton,-73.85642849,40.86633066,House,85,4,1.0,3,93.0
13,Allerton,-73.85993497,40.86946912,House,105,4,1.0,3,94.0
14,Allerton,-73.86768103,40.86521252,Apartment,45,3,1.0,3,89.0
15,Allerton,-73.86605467,40.85753243,Apartment,70,3,1.0,3,88.0
16,Allerton,-73.8700668,40.85959069,Apartment,90,2,0.75,5,100.0
17,Allerton,-73.8599937,40.86788703,House,63,4,1.0,4,98.0
18,Allerton,-73.85708739,40.86465805,Apartment,125,4,1.0,3,92.0
19,Allerton,-73.85482829,40.86868176,House,110,4,1.0,3,96.0
20,Allerton,-73.84680709,40.87054097,Apartment,200,4,1.0,3,96.0
21,Allerton,-73.86979422,40.85913782,Apartment,38,4,1.0,3,87.0
22,Allerton,-73.86968575,40.85839659,Apartment,49,4,1.0,3,88.0
23,Allerton,-73.85775618,40.86688872,House,43,4,1.0,3,96.0
24,Allerton,-73.86996826,40.85872807,Apartment,35,2,0.75,4,98.0
25,Allerton,-73.85634556,40.86666784,House,85,4,1.0,3,90.0
26,Allerton,-73.85874498,40.86814417,House,44,4,1.0,4,90.0
27,Allerton,-73.86960686,40.85929298,Apartment,109,4,0.84,4,100.0
28,Ditmars Steinway,-73.89833002,40.77422406,Townhouse,120,3,0.9,5,95.0
29,Ditmars Steinway,-73.89573491,40.76813844,Apartment,52,4,1.0,3,98.0
30,Ditmars Steinway,-73.90177064,40.77165365,Apartment,130,2,0.8,4,99.0
31,Ditmars Steinway,-73.9022083,40.7727588,Apartment,100,1,0.0,3,91.0
32,Ditmars Steinway,-73.91612174,40.77775897,House,55,4,1.0,3,92.0
33,Ditmars Steinway,-73.90718864,40.77772545,Apartment,35,4,1.0,5,67.0
34,Ditmars Steinway,-73.91280258,40.77573101,House,50,4,1.0,3,99.0
35,Ditmars Steinway,-73.91450139,40.77590933,Apartment,100,4,1.0,3,99.0
36,Ditmars Steinway,-73.91782973,40.78303908,House,115,4,1.0,3,100.0
37,Ditmars Steinway,-73.91317926,40.7827439,House,220,4,1.0,3,95.0
38,Ditmars Steinway,-73.90773738,40.77604946,Condominium,85,4,1.0,3,84.0
39,Ditmars Steinway,-73.91003014,40.78030632,Apartment,95,4,1.0,4,99.0
40,Ditmars Steinway,-73.91070906,40.77902817,Apartment,100,2,0.7,4,99.0
41,Ditmars Steinway,-73.90660708,40.77814101,Apartment,130,4,1.0,5,100.0
42,Ditmars Steinway,-73.91627886,40.77229137,House,55,4,1.0,3,91.0
43,Ditmars Steinway,-73.91505303,40.77449437,House,45,4,1.0,3,94.0
44,Ditmars Steinway,-73.91699767,40.77483018,Apartment,65,2,0.84,4,95.0
45,Ditmars Steinway,-73.91789432,40.77234808,Apartment,85,2,0.75,4,100.0
46,Ditmars Steinway,-73.91689652,40.77317275,Apartment,54,4,1.0,3,95.0
47,Ditmars Steinway,-73.91846435,40.77293495,Apartment,100,4,1.0,3,93.0
48,Ditmars Steinway,-73.91450245,40.77371721,House,40,4,1.0,3,92.0
49,Ditmars Steinway,-73.91554672,40.77187926,Apartment,200,3,1.0,5,100.0
50,Ditmars Steinway,-73.92782892,40.77687586,Apartment,125,2,0.9,3,100.0
51,Ditmars Steinway,-73.92675945,40.77718327,Apartment,89,4,1.0,3,88.0
52,Ditmars Steinway,-73.90727889,40.7746896,Apartment,45,4,1.0,3,97.0
53,Ditmars Steinway,-73.90426986,40.77117072,Apartment,200,4,1.0,4,98.0
54,Ditmars Steinway,-73.91082047,40.77208837,House,45,3,1.0,3,99.0
55,Ditmars Steinway,-73.9109978,40.7723311,Apartment,75,2,1.0,4,100.0
56,Ditmars Steinway,-73.9093173,40.77123157,House,100,4,0.99,4,82.0
57,Ditmars Steinway,-73.90857055,40.77340495,House,125,4,1.0,3,100.0
58,Ditmars Steinway,-73.91245981,40.77309999,Apartment,188,4,1.0,3,97.0
59,Ditmars Steinway,-73.90609628,40.77412269,House,99,4,1.0,3,97.0
60,Ditmars Steinway,-73.90773896,40.77462345,Condominium,125,3,1.0,3,80.0
61,Ditmars Steinway,-73.91129999,40.77273347,House,150,3,1.0,3,91.0
62,Ditmars Steinway,-73.91091263,40.77057778,House,181,3,1.0,3,96.0
63,Ditmars Steinway,-73.9110422,40.77375302,Apartment,55,4,1.0,5,100.0
64,Ditmars Steinway,-73.91686689,40.77679442,Apartment,68,4,1.0,3,98.0
65,Ditmars Steinway,-73.90110386,40.76893074,Apartment,110,2,0.5,3,96.0
66,Ditmars Steinway,-73.92202286,40.77567386,Apartment,80,2,0.75,5,100.0
67,Ditmars Steinway,-73.91134431,40.77011771,House,150,4,1.0,4,94.0
68,Ditmars Steinway,-73.90989793,40.77604686,Dorm,65,4,1.0,3,92.0
69,Ditmars Steinway,-73.90688293,40.77890459,Apartment,110,3,1.0,4,92.0
70,Ditmars Steinway,-73.90830691,40.77686257,Apartment,65,4,1.0,5,93.0
71,Ditmars Steinway,-73.90633669,40.77061585,Apartment,50,4,1.0,4,87.0
72,Ditmars Steinway,-73.91881637,40.77503323,Apartment,60,4,1.0,3,86.0
73,Ditmars Steinway,-73.89957469,40.76897614,House,40,4,1.0,3,92.0
74,Ditmars Steinway,-73.91136471,40.77473954,Apartment,133,3,1.0,3,80.0
75,Ditmars Steinway,-73.92195468,40.77457609,Apartment,165,4,1.0,4,97.0
76,Ditmars Steinway,-73.90786078,40.7813454,House,95,4,1.0,4,97.0
77,Ditmars Steinway,-73.91660095,40.77146569,House,69,4,1.0,4,89.0
78,Ditmars Steinway,-73.90539724,40.77085698,House,80,4,1.0,4,100.0
79,Ditmars Steinway,-73.91094043,40.77585454,Apartment,200,4,1.0,4,90.0
80,Ditmars Steinway,-73.91024629,40.78080163,Apartment,199,3,0.9,3,60.0
81,Ditmars Steinway,-73.90819091,40.77786492,Apartment,79,4,1.0,4,100.0
82,Ditmars Steinway,-73.91587246,40.7716298,Apartment,45,4,1.0,4,92.0
83,Ditmars Steinway,-73.91003385,40.78021603,Apartment,90,2,1.0,5,80.0
84,Ditmars Steinway,-73.90992545,40.77672906,Apartment,40,3,1.0,5,100.0
85,Ditmars Steinway,-73.90833878,40.78165513,House,59,4,1.0,3,85.0
86,Ditmars Steinway,-73.91837259,40.78090104,Apartment,89,4,1.0,5,86.0
87,Ditmars Steinway,-73.90903113,40.77076609,House,45,3,1.0,3,100.0
88,Ditmars Steinway,-73.90888328,40.77808998,Apartment,45,4,1.0,3,82.0
89,Ditmars Steinway,-73.89091734,40.76886237,Condominium,75,4,1.0,4,100.0
90,Ditmars Steinway,-73.91155117,40.77521701,House,140,4,0.69,3,93.0
91,Ditmars Steinway,-73.91015016,40.77948715,Apartment,80,4,0.9,3,93.0
92,Ditmars Steinway,-73.90714175,40.77523407,Apartment,112,4,1.0,4,80.0
93,Ditmars Steinway,-73.91787995,40.78268837,Apartment,87,4,1.0,3,100.0
94,Ditmars Steinway,-73.91111699,40.77634357,Apartment,130,3,1.0,3,94.0
95,Ditmars Steinway,-73.91017896,40.77075329,House,60,3,1.0,3,100.0
96,Ditmars Steinway,-73.91970457,40.77282169,Apartment,100,4,1.0,3,90.0
97,Ditmars Steinway,-73.90756064,40.77781045,Apartment,85,2,0.88,4,96.0
98,Ditmars Steinway,-73.89291409,40.76904103,Condominium,80,4,1.0,4,95.0
99,Ditmars Steinway,-73.8905097,40.77287276,House,159,4,1.0,4,93.0
100,Ditmars Steinway,-73.9065005,40.77170306,Apartment,65,4,1.0,5,97.0
101,Ditmars Steinway,-73.91163781,40.77145491,House,40,4,1.0,3,94.0
